Crossheadmm,LoadN,Timesec
0.0,0.0,0.000
0.03,1.0,0.100
0.06,2.0,0.200
0.08,2.0,0.300
0.11,3.0,0.400
0.15,4.0,0.500
0.18,4.0,0.600
0.21,5.0,0.700
0.25,5.0,0.800
0.28,6.0,0.900
0.31,7.0,1.000
0.35,7.0,1.100
0.38,7.0,1.200
0.41,8.0,1.300
0.45,9.0,1.400
0.48,9.0,1.500
0.52,9.0,1.600
0.55,10.0,1.700
0.58,10.0,1.800
0.61,11.0,1.900
0.65,12.0,2.000
0.68,12.0,2.100
0.71,13.0,2.200
0.75,13.0,2.300
0.78,14.0,2.400
0.81,14.0,2.500
0.85,14.0,2.600
0.88,15.0,2.700
0.91,15.0,2.800
0.95,16.0,2.900
0.98,16.0,3.000
1.01,17.0,3.100
1.05,18.0,3.200
1.08,19.0,3.300
1.11,19.0,3.400
1.15,20.0,3.500
1.18,20.0,3.600
1.21,21.0,3.700
1.25,21.0,3.800
1.28,22.0,3.900
1.31,22.0,4.000
1.35,23.0,4.100
1.38,23.0,4.200
1.41,23.0,4.300
1.45,24.0,4.400
1.48,25.0,4.500
1.52,25.0,4.600
1.55,26.0,4.700
1.58,27.0,4.800
1.61,29.0,4.900
1.65,30.0,5.000
1.68,31.0,5.100
1.71,32.0,5.200
1.75,32.0,5.300
1.78,34.0,5.400
1.81,34.0,5.500
1.85,36.0,5.600
1.88,36.0,5.700
1.91,38.0,5.800
1.95,39.0,5.900
1.98,41.0,6.000
2.01,42.0,6.100
2.05,43.0,6.200
2.08,45.0,6.300
2.11,47.0,6.400
2.15,49.0,6.500
2.18,51.0,6.600
2.21,53.0,6.700
2.25,55.0,6.800
2.28,58.0,6.900
2.31,60.0,7.000
2.35,64.0,7.100
2.38,67.0,7.200
2.41,69.0,7.300
2.45,73.0,7.400
2.48,77.0,7.500
2.51,80.0,7.600
2.55,84.0,7.700
2.58,89.0,7.800
2.61,93.0,7.900
2.65,97.0,8.000
2.68,101.0,8.100
2.71,106.0,8.200
2.74,110.0,8.300
2.78,115.0,8.400
2.81,119.0,8.500
2.85,124.0,8.600
2.88,130.0,8.700
2.91,135.0,8.800
2.95,141.0,8.900
2.98,148.0,9.000
3.01,155.0,9.100
3.05,162.0,9.200
3.08,169.0,9.300
3.11,176.0,9.400
3.15,184.0,9.500
3.18,193.0,9.600
3.21,200.0,9.700
3.25,208.0,9.800
3.28,218.0,9.900
3.31,226.0,10.000
3.35,235.0,10.100
3.38,244.0,10.200
3.41,253.0,10.300
3.45,263.0,10.400
3.48,272.0,10.500
3.51,192.0,10.600
3.55,213.0,10.700
3.58,232.0,10.800
3.61,248.0,10.900
3.64,264.0,11.000
3.68,278.0,11.100
3.71,291.0,11.200
3.74,305.0,11.300
3.78,317.0,11.400
3.81,329.0,11.500
3.85,338.0,11.600
3.88,348.0,11.700
3.91,358.0,11.800
3.95,368.0,11.900
3.98,379.0,12.000
4.01,389.0,12.100
4.04,399.0,12.200
4.08,387.0,12.300
4.11,276.0,12.400
4.14,279.0,12.500
4.18,287.0,12.600
4.21,290.0,12.700
4.24,296.0,12.800
4.28,301.0,12.900
4.31,309.0,13.000
4.35,320.0,13.100
4.38,331.0,13.200
4.41,340.0,13.300
4.44,349.0,13.400
4.48,357.0,13.500
4.51,366.0,13.600
4.54,375.0,13.700
4.58,384.0,13.800
4.61,394.0,13.900
4.64,401.0,14.000
4.68,411.0,14.100
4.71,420.0,14.200
4.74,431.0,14.300
4.78,442.0,14.400
4.81,451.0,14.500
4.85,456.0,14.600
4.88,464.0,14.700
4.91,473.0,14.800
4.94,482.0,14.900
4.98,491.0,15.000
5.01,499.0,15.100
5.04,449.0,15.200
5.08,330.0,15.300
