Crossheadmm,LoadN,Timesec
4.42,32.82,26.500
4.43,32.98,26.600
4.45,33.24,26.700
4.47,33.37,26.800
4.48,33.64,26.900
4.5,33.8,27.000
4.52,34.22,27.100
4.53,34.23,27.200
4.55,34.59,27.300
4.57,34.65,27.400
4.58,35.03,27.500
4.6,35.2,27.600
4.62,35.37,27.700
4.63,35.71,27.800
4.65,35.81,27.900
4.67,36.03,28.000
4.68,36.26,28.100
4.7,36.47,28.200
4.72,36.64,28.300
4.73,36.81,28.400
4.75,36.81,28.500
4.77,36.98,28.600
4.78,37.16,28.700
4.8,37.39,28.800
4.82,37.46,28.900
4.83,37.58,29.000
4.85,37.72,29.100
4.87,37.79,29.200
4.88,38.05,29.300
4.9,38.3,29.400
4.92,38.47,29.500
4.93,38.7,29.600
4.95,38.87,29.700
4.97,39.02,29.800
4.98,39.17,29.900
5.0,39.39,30.000
5.02,39.56,30.100
5.03,39.69,30.200
5.05,39.87,30.300
5.07,40.01,30.400
5.08,40.13,30.500
5.1,40.52,30.600
5.12,40.61,30.700
5.13,40.89,30.800
5.15,41.15,30.900
5.17,41.22,31.000
5.18,41.42,31.100
5.2,41.69,31.200
5.22,42.01,31.300
5.23,42.21,31.400
5.25,42.28,31.500
5.27,42.64,31.600
5.28,42.63,31.700
5.3,42.79,31.800
5.32,42.99,31.900
5.33,42.96,32.000
5.35,43.0,32.100
5.37,43.07,32.200
5.38,43.46,32.300
5.4,43.67,32.400
5.42,43.82,32.500
5.43,44.06,32.600
5.45,44.28,32.700
5.47,44.53,32.800
5.48,44.62,32.900
5.5,44.81,33.000
5.52,45.16,33.100
5.53,45.42,33.200
5.55,45.63,33.300
5.57,46.04,33.400
5.58,46.51,33.500
5.6,46.76,33.600
5.62,47.05,33.700
5.63,47.38,33.800
5.65,47.68,33.900
5.67,48.07,34.000
5.68,48.5,34.100
5.7,48.91,34.200
5.72,49.24,34.300
5.73,49.65,34.400
5.75,50.16,34.500
5.77,50.57,34.600
5.78,51.04,34.700
5.8,51.39,34.800
5.82,51.66,34.900
5.83,52.24,35.000
5.85,52.75,35.100
5.87,53.1,35.200
5.88,53.74,35.300
5.9,54.08,35.400
5.92,54.53,35.500
5.93,54.87,35.600
5.95,55.26,35.700
5.97,55.57,35.800
5.98,56.19,35.900
6.0,56.54,36.000
6.02,57.07,36.100
6.03,57.44,36.200
6.05,58.08,36.300
6.07,58.47,36.400
6.08,58.93,36.500
6.1,59.33,36.600
6.12,59.89,36.700
6.13,60.25,36.800
6.15,60.71,36.900
6.17,61.28,37.000
6.18,61.89,37.100
6.2,62.41,37.200
6.22,63.1,37.300
6.23,63.38,37.400
6.25,63.46,37.500
6.27,63.95,37.600
6.28,64.43,37.700
6.3,64.96,37.800
6.32,65.6,37.900
6.33,66.07,38.000
6.35,66.63,38.100
6.37,67.13,38.200
6.38,67.76,38.300
6.4,68.24,38.400
6.42,68.75,38.500
6.43,69.31,38.600
6.45,70.0,38.700
6.47,70.47,38.800
6.48,71.18,38.900
6.5,71.74,39.000
6.52,72.24,39.100
6.53,72.97,39.200
6.55,73.59,39.300
6.57,74.32,39.400
6.58,74.96,39.500
6.6,75.67,39.600
6.62,76.3,39.700
6.63,76.78,39.800
6.65,77.49,39.900
6.67,78.09,40.000
6.68,78.79,40.100
6.7,79.46,40.200
6.72,80.16,40.300
6.73,80.84,40.400
6.75,81.54,40.500
6.77,82.25,40.600
6.78,82.88,40.700
6.8,83.58,40.800
6.82,84.17,40.900
6.83,84.92,41.000
6.85,85.56,41.100
6.87,86.25,41.200
6.88,86.92,41.300
6.9,87.59,41.400
6.92,88.27,41.500
6.93,88.96,41.600
6.95,89.54,41.700
6.97,90.14,41.800
6.98,90.9,41.900
7.0,91.61,42.000
7.02,92.32,42.100
7.03,93.01,42.200
7.05,93.78,42.300
7.07,94.29,42.400
7.08,95.3,42.500
7.1,95.96,42.600
7.12,96.72,42.700
7.13,97.15,42.800
7.15,97.92,42.900
7.17,98.55,43.000
7.18,99.03,43.100
7.2,99.54,43.200
7.22,100.26,43.300
7.23,100.96,43.400
7.25,101.59,43.500
7.27,101.71,43.600
7.28,100.21,43.700
7.3,100.75,43.800
7.32,101.32,43.900
7.33,102.0,44.000
7.35,102.54,44.100
7.37,103.34,44.200
7.38,104.02,44.300
7.4,104.7,44.400
7.42,105.35,44.500
7.43,106.17,44.600
7.45,106.8,44.700
7.47,107.49,44.800
7.48,108.29,44.900
7.5,109.04,45.000
7.52,109.81,45.100
7.53,110.5,45.200
7.55,111.27,45.300
7.57,111.99,45.400
7.58,112.86,45.500
7.6,113.57,45.600
7.62,114.33,45.700
7.63,114.96,45.800
7.65,115.72,45.900
7.67,116.71,46.000
7.68,117.27,46.100
7.7,117.9,46.200
7.72,118.51,46.300
7.73,119.3,46.400
7.75,119.9,46.500
7.77,120.73,46.600
7.78,121.4,46.700
7.8,122.13,46.800
7.82,122.85,46.900
7.83,123.67,47.000
7.85,124.46,47.100
7.87,125.03,47.200
7.88,125.67,47.300
7.9,126.4,47.400
7.92,127.1,47.500
7.93,127.75,47.600
7.95,128.43,47.700
7.97,129.09,47.800
7.98,129.83,47.900
8.0,130.65,48.000
8.02,131.28,48.100
8.03,132.03,48.200
8.05,132.78,48.300
8.07,133.49,48.400
8.08,134.31,48.500
8.1,134.98,48.600
8.12,135.87,48.700
8.13,136.48,48.800
8.15,137.36,48.900
8.17,138.14,49.000
8.18,138.93,49.100
8.2,139.66,49.200
8.22,140.43,49.300
8.23,141.21,49.400
8.25,142.11,49.500
8.27,142.7,49.600
8.28,143.44,49.700
8.3,144.35,49.800
8.32,145.16,49.900
8.33,145.92,50.000
8.35,146.62,50.100
8.37,147.28,50.200
8.38,148.16,50.300
8.4,148.8,50.400
8.42,149.63,50.500
8.43,150.22,50.600
8.45,150.89,50.700
8.47,151.71,50.800
8.48,152.38,50.900
8.5,152.87,51.000
8.52,153.63,51.100
8.53,154.16,51.200
8.55,154.95,51.300
8.57,155.58,51.400
8.58,156.42,51.500
8.6,157.25,51.600
8.62,157.97,51.700
8.63,158.77,51.800
8.65,159.24,51.900
8.67,159.94,52.000
8.68,160.16,52.100
8.7,160.63,52.200
8.72,161.2,52.300
8.73,162.01,52.400
8.75,162.77,52.500
8.77,163.22,52.600
8.78,163.92,52.700
8.8,164.63,52.800
8.82,165.49,52.900
8.83,166.0,53.000
8.85,166.6,53.100
8.87,167.39,53.200
8.88,168.18,53.300
8.9,168.81,53.400
8.92,169.67,53.500
8.93,170.48,53.600
8.95,171.11,53.700
8.97,171.97,53.800
8.98,120.84,53.900
9.0,108.17,54.000
9.02,104.68,54.100
9.03,103.44,54.200
9.05,102.62,54.300
9.07,101.48,54.400
9.08,100.98,54.500
9.1,101.28,54.600
9.12,101.34,54.700
9.13,101.72,54.800
9.15,101.81,54.900
9.17,102.2,55.000
9.18,102.63,55.100
9.2,102.88,55.200
9.22,103.39,55.300
9.23,103.69,55.400
9.25,102.93,55.500
9.27,103.43,55.600
9.28,103.72,55.700
9.3,104.07,55.800
9.32,104.58,55.900
9.33,104.99,56.000
9.35,105.44,56.100
9.37,105.8,56.200
9.38,106.37,56.300
9.4,106.92,56.400
9.42,107.42,56.500
9.43,107.85,56.600
9.45,108.4,56.700
9.47,108.75,56.800
9.48,109.36,56.900
9.5,109.89,57.000
9.52,110.19,57.100
9.53,110.62,57.200
9.55,111.22,57.300
9.57,111.54,57.400
9.58,111.78,57.500
9.6,112.42,57.600
9.62,112.7,57.700
9.63,113.11,57.800
9.65,113.6,57.900
9.67,113.92,58.000
9.68,114.44,58.100
9.7,114.84,58.200
9.72,114.95,58.300
9.73,114.48,58.400
9.75,109.04,58.500
9.77,107.24,58.600
9.78,106.65,58.700
9.8,106.4,58.800
9.82,105.83,58.900
9.83,105.93,59.000
9.85,105.9,59.100
9.87,103.53,59.200
9.88,103.5,59.300
9.9,103.61,59.400
9.92,103.39,59.500
9.93,103.76,59.600
9.95,103.8,59.700
9.97,104.14,59.800
9.98,104.3,59.900
10.0,104.43,60.000
10.02,104.13,60.100
10.03,103.71,60.200
10.05,103.73,60.300
10.07,103.77,60.400
10.08,103.82,60.500
10.1,103.8,60.600
10.12,104.14,60.700
10.13,104.26,60.800
10.15,104.48,60.900
10.17,104.92,61.000
10.18,105.03,61.100
10.2,105.21,61.200
10.22,105.34,61.300
10.23,105.62,61.400
10.25,105.76,61.500
10.27,105.79,61.600
10.28,106.09,61.700
10.3,106.37,61.800
10.32,106.26,61.900
10.33,106.31,62.000
10.35,106.57,62.100
10.37,106.71,62.200
10.38,106.9,62.300
10.4,107.02,62.400
10.42,107.29,62.500
10.43,107.54,62.600
10.45,107.64,62.700
10.47,107.93,62.800
10.48,108.38,62.900
10.5,108.47,63.000
10.52,108.73,63.100
10.53,109.04,63.200
10.55,109.28,63.300
10.57,109.71,63.400
10.58,110.06,63.500
10.6,110.39,63.600
10.62,110.61,63.700
10.63,110.72,63.800
10.65,106.95,63.900
10.67,105.32,64.000
10.68,97.2,64.100
10.7,96.84,64.200
10.72,96.83,64.300
10.73,96.64,64.400
10.75,96.58,64.500
10.77,97.04,64.600
10.78,97.13,64.700
10.8,97.41,64.800
10.82,97.8,64.900
10.83,98.01,65.000
10.85,98.29,65.100
10.87,98.71,65.200
10.88,99.07,65.300
10.9,99.4,65.400
10.92,99.55,65.500
10.93,98.97,65.600
10.95,98.91,65.700
10.97,98.83,65.800
10.98,99.22,65.900
11.0,99.27,66.000
11.02,99.55,66.100
11.03,99.59,66.200
11.05,99.56,66.300
11.07,99.64,66.400
11.08,99.73,66.500
11.1,99.28,66.600
11.12,95.11,66.700
11.13,92.02,66.800
11.15,91.39,66.900
11.17,91.22,67.000
11.18,91.41,67.100
11.2,91.42,67.200
11.22,91.68,67.300
11.23,91.95,67.400
11.25,91.87,67.500
11.27,92.1,67.600
11.28,92.32,67.700
11.3,92.66,67.800
11.32,92.9,67.900
11.33,93.18,68.000
11.35,93.5,68.100
11.37,93.68,68.200
11.38,93.98,68.300
11.4,94.45,68.400
11.42,94.51,68.500
11.43,94.85,68.600
11.45,94.87,68.700
11.47,95.01,68.800
11.48,95.16,68.900
11.5,95.08,69.000
11.52,95.32,69.100
11.53,95.36,69.200
11.55,95.58,69.300
11.57,95.5,69.400
11.58,95.41,69.500
11.6,95.27,69.600
11.62,94.4,69.700
11.63,93.58,69.800
11.65,92.93,69.900
11.67,93.05,70.000
11.68,92.72,70.100
11.7,90.92,70.200
11.72,89.99,70.300
11.73,88.69,70.400
11.75,87.39,70.500
11.77,85.45,70.600
11.78,82.51,70.700
11.8,81.53,70.800
11.82,80.77,70.900
11.83,79.88,71.000
11.85,79.75,71.100
11.87,79.45,71.200
11.88,79.45,71.300
11.9,79.5,71.400
11.92,79.24,71.500
11.93,79.16,71.600
11.95,78.49,71.700
11.97,78.41,71.800
11.98,78.56,71.900
12.0,78.32,72.000
12.02,78.44,72.100
12.03,78.51,72.200
12.05,78.48,72.300
12.07,78.43,72.400
12.08,78.53,72.500
12.1,77.43,72.600
12.12,73.09,72.700
12.13,71.78,72.800
12.15,71.22,72.900
12.17,70.78,73.000
12.18,70.46,73.100
12.2,69.76,73.200
12.22,69.36,73.300
12.23,68.83,73.400
12.25,68.64,73.500
12.27,68.14,73.600
12.28,67.91,73.700
12.3,67.37,73.800
12.32,67.36,73.900
12.33,66.94,74.000
12.35,66.85,74.100
