Crossheadmm,LoadN,Timesec
0.0,6.45,0.000
0.01,6.47,0.100
0.02,6.64,0.200
0.03,7.26,0.300
0.04,7.43,0.400
0.04,7.98,0.500
0.05,8.33,0.600
0.06,8.81,0.700
0.07,8.94,0.800
0.08,9.5,0.900
0.09,10.07,1.000
0.09,9.86,1.100
0.1,10.69,1.200
0.11,10.93,1.300
0.12,11.38,1.400
0.13,11.73,1.500
0.14,12.04,1.600
0.15,12.36,1.700
0.15,12.76,1.800
0.16,13.74,1.900
0.17,13.52,2.000
0.18,13.99,2.100
0.19,14.58,2.200
0.2,14.68,2.300
0.2,15.4,2.400
0.21,15.68,2.500
0.22,15.98,2.600
0.23,16.55,2.700
0.24,16.7,2.800
0.24,16.96,2.900
0.25,17.52,3.000
0.26,18.13,3.100
0.27,18.43,3.200
0.28,18.83,3.300
0.29,19.45,3.400
0.3,19.99,3.500
0.3,20.34,3.600
0.31,20.68,3.700
0.32,20.98,3.800
0.33,21.71,3.900
0.34,21.98,4.000
0.34,22.5,4.100
0.35,22.88,4.200
0.36,23.48,4.300
0.37,23.78,4.400
0.38,24.46,4.500
0.39,24.99,4.600
0.4,25.38,4.700
0.4,25.8,4.800
0.41,26.12,4.900
0.42,26.65,5.000
0.43,27.3,5.100
0.44,27.71,5.200
0.45,28.5,5.300
0.45,29.02,5.400
0.46,29.14,5.500
0.47,29.83,5.600
0.48,30.15,5.700
0.49,30.63,5.800
0.49,31.25,5.900
0.5,31.73,6.000
0.51,32.29,6.100
0.52,33.11,6.200
0.53,33.25,6.300
0.54,33.85,6.400
0.54,34.36,6.500
0.55,35.09,6.600
0.56,35.59,6.700
0.57,36.01,6.800
0.58,36.67,6.900
0.59,37.15,7.000
0.59,37.92,7.100
0.6,38.31,7.200
0.61,38.9,7.300
0.62,39.49,7.400
0.63,39.76,7.500
0.64,40.66,7.600
0.64,41.12,7.700
0.65,41.76,7.800
0.66,42.41,7.900
0.67,43.06,8.000
0.68,43.69,8.100
0.69,44.13,8.200
0.69,44.85,8.300
0.7,45.55,8.400
0.71,45.88,8.500
0.72,46.52,8.600
0.73,47.13,8.700
0.74,47.85,8.800
0.74,48.46,8.900
0.75,49.05,9.000
0.76,49.55,9.100
0.77,50.27,9.200
0.78,50.88,9.300
0.79,51.69,9.400
0.79,52.24,9.500
0.8,53.01,9.600
0.81,53.59,9.700
0.82,54.05,9.800
0.83,54.8,9.900
0.84,55.68,10.000
0.84,56.63,10.100
0.85,57.03,10.200
0.86,57.64,10.300
0.87,58.36,10.400
0.88,59.04,10.500
0.89,59.66,10.600
0.89,60.62,10.700
0.9,60.9,10.800
0.91,61.64,10.900
0.92,62.42,11.000
0.93,63.2,11.100
0.94,64.04,11.200
0.94,64.38,11.300
0.95,65.36,11.400
0.96,66.06,11.500
0.97,66.81,11.600
0.98,67.51,11.700
0.99,68.39,11.800
1.0,68.93,11.900
1.0,69.9,12.000
1.01,70.38,12.100
1.02,71.14,12.200
1.03,71.94,12.300
1.04,72.65,12.400
1.04,73.39,12.500
1.05,74.21,12.600
1.06,74.73,12.700
1.07,75.91,12.800
1.08,76.67,12.900
1.09,77.62,13.000
1.09,78.38,13.100
1.1,79.06,13.200
1.11,79.89,13.300
1.12,80.94,13.400
1.13,81.58,13.500
1.14,82.33,13.600
1.14,83.25,13.700
1.15,83.81,13.800
1.16,84.88,13.900
1.17,85.79,14.000
1.18,86.49,14.100
1.19,73.3,14.200
1.19,69.08,14.300
1.2,70.69,14.400
1.21,71.92,14.500
1.22,72.97,14.600
1.23,74.25,14.700
1.24,75.32,14.800
1.24,77.03,14.900
1.25,78.02,15.000
1.26,79.05,15.100
1.27,80.13,15.200
1.28,81.47,15.300
1.29,82.25,15.400
1.3,83.27,15.500
1.3,84.51,15.600
1.31,85.54,15.700
1.32,86.63,15.800
1.33,87.64,15.900
1.34,88.7,16.000
1.34,89.75,16.100
1.35,90.99,16.200
1.36,91.78,16.300
1.37,92.99,16.400
1.38,93.72,16.500
1.39,94.92,16.600
1.39,95.89,16.700
1.4,96.84,16.800
1.41,97.83,16.900
1.42,98.95,17.000
1.43,100.07,17.100
1.44,101.15,17.200
1.44,101.73,17.300
1.45,102.96,17.400
1.46,103.95,17.500
1.47,105.14,17.600
1.48,105.94,17.700
1.49,106.99,17.800
1.49,108.09,17.900
1.5,109.15,18.000
1.51,110.14,18.100
1.52,111.25,18.200
1.53,112.24,18.300
1.54,113.03,18.400
1.54,114.18,18.500
1.55,115.3,18.600
1.56,116.41,18.700
1.57,117.5,18.800
1.58,118.48,18.900
1.59,119.56,19.000
1.59,120.73,19.100
1.6,121.73,19.200
1.61,122.64,19.300
1.62,123.88,19.400
1.63,124.82,19.500
1.64,125.94,19.600
1.64,126.93,19.700
1.65,128.04,19.800
1.66,129.4,19.900
1.67,130.19,20.000
1.68,131.27,20.100
1.69,132.65,20.200
1.7,133.8,20.300
1.7,135.06,20.400
1.71,136.12,20.500
1.72,137.35,20.600
1.73,137.98,20.700
1.74,139.45,20.800
1.74,140.57,20.900
1.75,141.77,21.000
1.76,142.88,21.100
1.77,144.0,21.200
1.78,145.27,21.300
1.79,146.46,21.400
1.79,147.33,21.500
1.8,148.78,21.600
1.81,149.98,21.700
1.82,151.17,21.800
1.83,152.34,21.900
1.84,153.26,22.000
1.84,154.17,22.100
1.85,155.43,22.200
1.86,156.62,22.300
1.87,157.76,22.400
1.88,158.75,22.500
1.89,159.9,22.600
1.89,160.98,22.700
1.9,162.36,22.800
