Crossheadmm,LoadN,Timesec
0.0,2.04,0.000
0.03,2.28,0.100
0.06,2.61,0.200
0.1,2.71,0.300
0.13,2.87,0.400
0.16,3.2,0.500
0.2,3.41,0.600
0.23,3.52,0.700
0.26,3.85,0.800
0.3,3.88,0.900
0.33,4.17,1.000
0.37,4.33,1.100
0.4,4.51,1.200
0.43,4.7,1.300
0.46,4.87,1.400
0.5,5.03,1.500
0.53,5.35,1.600
0.56,5.49,1.700
0.6,5.68,1.800
0.63,5.97,1.900
0.67,6.32,2.000
0.7,6.6,2.100
0.73,6.78,2.200
0.76,6.91,2.300
0.8,7.28,2.400
0.83,7.48,2.500
0.86,7.81,2.600
0.9,8.08,2.700
0.93,8.39,2.800
0.96,8.53,2.900
1.0,8.98,3.000
1.03,9.23,3.100
1.07,9.65,3.200
1.1,10.01,3.300
1.13,10.35,3.400
1.17,10.64,3.500
1.2,10.8,3.600
1.23,10.69,3.700
1.27,11.07,3.800
1.3,11.28,3.900
1.33,11.82,4.000
1.36,12.29,4.100
1.4,12.7,4.200
1.43,13.21,4.300
1.47,13.75,4.400
1.5,14.17,4.500
1.53,14.57,4.600
1.57,15.21,4.700
1.6,15.7,4.800
1.63,16.12,4.900
1.67,16.78,5.000
1.7,17.36,5.100
1.73,17.93,5.200
1.76,18.55,5.300
1.8,19.21,5.400
1.83,19.82,5.500
1.87,20.18,5.600
1.9,20.64,5.700
1.93,21.19,5.800
1.97,22.0,5.900
2.0,22.53,6.000
2.03,23.37,6.100
2.07,24.09,6.200
2.1,24.9,6.300
2.13,25.37,6.400
2.17,26.03,6.500
2.2,26.78,6.600
2.23,27.73,6.700
2.27,28.5,6.800
2.3,29.33,6.900
2.33,29.98,7.000
2.37,30.67,7.100
2.4,31.45,7.200
2.43,32.14,7.300
2.47,33.0,7.400
2.5,33.93,7.500
2.53,34.83,7.600
2.57,33.59,7.700
2.6,33.65,7.800
2.63,34.46,7.900
2.67,35.37,8.000
2.7,36.17,8.100
2.73,37.08,8.200
2.77,37.96,8.300
2.8,38.85,8.400
2.83,39.57,8.500
2.87,39.65,8.600
2.9,40.19,8.700
2.93,40.9,8.800
2.97,40.49,8.900
