Crossheadmm,LoadN,Timesec
0.0,0.19,0.000
0.01,0.15,0.100
0.02,0.13,0.200
0.03,0.23,0.300
0.04,0.24,0.400
0.04,0.16,0.500
0.05,0.26,0.600
0.06,0.24,0.700
0.07,0.21,0.800
0.08,0.15,0.900
0.09,0.22,1.000
0.09,0.25,1.100
0.1,0.2,1.200
0.11,0.3,1.300
0.12,0.37,1.400
0.13,0.48,1.500
0.14,0.41,1.600
0.14,0.42,1.700
0.15,0.39,1.800
0.16,0.37,1.900
0.17,0.3,2.000
0.18,0.5,2.100
0.19,0.45,2.200
0.19,0.4,2.300
0.2,0.51,2.400
0.21,0.53,2.500
0.22,0.57,2.600
0.23,0.62,2.700
0.24,0.7,2.800
0.24,0.74,2.900
0.25,0.77,3.000
0.26,0.73,3.100
0.27,0.88,3.200
0.28,0.77,3.300
0.29,0.8,3.400
0.29,0.78,3.500
0.3,0.88,3.600
0.31,0.91,3.700
0.32,0.9,3.800
0.33,0.92,3.900
0.34,1.09,4.000
0.34,1.18,4.100
0.35,1.09,4.200
0.36,1.23,4.300
0.37,1.19,4.400
0.38,1.17,4.500
0.39,1.27,4.600
0.39,1.39,4.700
0.4,1.45,4.800
0.41,1.53,4.900
0.42,1.4,5.000
0.43,1.5,5.100
0.44,1.53,5.200
0.44,1.61,5.300
0.45,1.66,5.400
0.46,1.76,5.500
0.47,1.74,5.600
0.48,1.93,5.700
0.49,1.88,5.800
0.49,1.91,5.900
0.5,1.96,6.000
0.51,2.1,6.100
0.52,2.01,6.200
0.53,2.13,6.300
0.54,2.25,6.400
0.54,2.34,6.500
0.55,2.49,6.600
0.56,2.39,6.700
0.57,2.48,6.800
0.58,2.59,6.900
0.59,2.52,7.000
0.59,2.76,7.100
0.6,2.67,7.200
0.61,2.82,7.300
0.62,3.03,7.400
0.63,3.04,7.500
0.64,3.02,7.600
0.64,3.01,7.700
0.65,3.16,7.800
0.66,3.21,7.900
0.67,3.38,8.000
0.68,3.29,8.100
0.69,3.55,8.200
0.69,3.49,8.300
0.7,3.72,8.400
0.71,3.63,8.500
0.72,3.75,8.600
0.73,3.98,8.700
0.74,4.04,8.800
0.74,4.06,8.900
0.75,4.07,9.000
0.76,4.17,9.100
0.77,4.25,9.200
0.78,4.5,9.300
0.79,4.59,9.400
0.79,4.6,9.500
0.8,4.65,9.600
0.81,4.78,9.700
0.82,4.9,9.800
0.83,4.92,9.900
0.84,5.0,10.000
0.84,5.12,10.100
0.85,5.25,10.200
0.86,5.21,10.300
0.87,5.25,10.400
0.88,5.32,10.500
0.89,5.49,10.600
0.89,5.54,10.700
0.9,5.61,10.800
0.91,5.74,10.900
0.92,5.73,11.000
0.93,5.88,11.100
0.94,5.89,11.200
0.94,6.12,11.300
0.95,6.19,11.400
0.96,6.19,11.500
0.97,6.39,11.600
0.98,6.44,11.700
0.99,6.43,11.800
0.99,6.61,11.900
1.0,6.76,12.000
1.01,6.82,12.100
1.02,6.83,12.200
1.03,7.04,12.300
1.04,7.11,12.400
1.04,7.47,12.500
1.05,7.38,12.600
1.06,7.61,12.700
1.07,7.7,12.800
1.08,7.81,12.900
1.09,8.0,13.000
1.09,8.03,13.100
1.1,8.11,13.200
1.11,8.27,13.300
1.12,8.35,13.400
1.13,8.46,13.500
1.14,8.7,13.600
1.14,8.71,13.700
1.15,8.89,13.800
1.16,9.15,13.900
1.17,9.15,14.000
1.18,9.37,14.100
1.19,9.61,14.200
1.19,9.75,14.300
1.2,9.92,14.400
1.21,10.1,14.500
1.22,10.19,14.600
1.23,10.28,14.700
1.24,10.4,14.800
1.24,10.67,14.900
1.25,10.82,15.000
1.26,10.96,15.100
1.27,11.06,15.200
1.28,11.21,15.300
1.29,11.59,15.400
1.29,11.64,15.500
1.3,11.81,15.600
1.31,11.98,15.700
1.32,12.11,15.800
1.33,12.36,15.900
1.34,12.44,16.000
1.34,12.72,16.100
1.35,12.85,16.200
1.36,12.78,16.300
1.37,13.13,16.400
1.38,13.31,16.500
1.39,13.23,16.600
1.39,13.52,16.700
1.4,13.64,16.800
1.41,13.68,16.900
1.42,13.95,17.000
1.43,14.14,17.100
1.44,14.2,17.200
1.44,14.33,17.300
1.45,14.48,17.400
1.46,14.76,17.500
1.47,14.82,17.600
1.48,14.97,17.700
1.49,15.17,17.800
1.49,15.39,17.900
1.5,15.58,18.000
1.51,15.57,18.100
1.52,15.81,18.200
1.53,16.06,18.300
1.54,16.02,18.400
1.54,16.42,18.500
1.55,16.45,18.600
1.56,16.71,18.700
1.57,17.0,18.800
1.58,16.99,18.900
1.59,17.17,19.000
1.59,17.42,19.100
1.6,17.51,19.200
1.61,17.73,19.300
1.62,17.83,19.400
1.63,18.04,19.500
1.64,18.27,19.600
1.64,18.47,19.700
1.65,18.69,19.800
1.66,18.85,19.900
1.67,19.08,20.000
1.68,19.32,20.100
1.69,19.5,20.200
1.69,19.68,20.300
1.7,19.79,20.400
1.71,19.99,20.500
1.72,20.33,20.600
1.73,20.63,20.700
1.74,20.7,20.800
1.74,21.08,20.900
1.75,21.39,21.000
1.76,21.39,21.100
1.77,21.8,21.200
1.78,22.03,21.300
1.79,22.42,21.400
1.79,22.66,21.500
1.8,22.96,21.600
1.81,23.18,21.700
1.82,23.53,21.800
1.83,23.9,21.900
1.84,24.09,22.000
1.84,24.24,22.100
1.85,24.5,22.200
1.86,24.96,22.300
1.87,25.24,22.400
1.88,25.42,22.500
1.89,25.86,22.600
1.89,25.97,22.700
1.9,26.36,22.800
1.91,26.58,22.900
1.92,26.75,23.000
1.93,27.13,23.100
1.94,27.41,23.200
1.94,27.67,23.300
1.95,28.01,23.400
1.96,28.25,23.500
1.97,28.54,23.600
1.98,28.72,23.700
1.99,29.07,23.800
1.99,29.37,23.900
2.0,29.55,24.000
2.01,29.93,24.100
2.02,30.19,24.200
2.03,30.48,24.300
2.04,30.75,24.400
2.04,31.04,24.500
2.05,31.41,24.600
2.06,31.67,24.700
2.07,31.94,24.800
2.08,32.24,24.900
2.09,32.51,25.000
2.09,33.06,25.100
2.1,33.18,25.200
2.11,33.48,25.300
2.12,33.73,25.400
2.13,34.17,25.500
2.14,34.25,25.600
2.14,34.72,25.700
2.15,35.08,25.800
2.16,35.32,25.900
2.17,35.57,26.000
2.18,36.01,26.100
2.19,36.28,26.200
2.19,36.71,26.300
2.2,37.06,26.400
2.21,37.33,26.500
2.22,37.76,26.600
2.23,38.17,26.700
2.24,38.4,26.800
2.24,38.74,26.900
2.25,39.13,27.000
2.26,39.33,27.100
2.27,39.8,27.200
2.28,40.17,27.300
2.29,40.5,27.400
2.29,40.86,27.500
2.3,41.09,27.600
2.31,41.35,27.700
2.32,41.86,27.800
2.33,42.26,27.900
2.34,42.57,28.000
2.34,42.82,28.100
2.35,43.21,28.200
2.36,43.61,28.300
2.37,44.05,28.400
2.38,44.28,28.500
2.39,44.75,28.600
2.39,45.09,28.700
2.4,45.39,28.800
2.41,45.76,28.900
2.42,46.19,29.000
2.43,46.5,29.100
2.44,46.84,29.200
2.44,47.14,29.300
2.45,47.63,29.400
2.46,47.96,29.500
2.47,48.34,29.600
2.48,48.81,29.700
2.49,49.04,29.800
2.49,49.21,29.900
2.5,49.65,30.000
2.51,49.9,30.100
2.52,49.97,30.200
2.53,50.06,30.300
2.54,50.35,30.400
2.54,50.84,30.500
2.55,51.02,30.600
2.56,51.31,30.700
2.57,51.65,30.800
2.58,52.12,30.900
2.59,52.29,31.000
2.59,52.79,31.100
2.6,52.95,31.200
2.61,53.39,31.300
2.62,53.65,31.400
2.63,54.16,31.500
2.64,54.23,31.600
2.64,54.62,31.700
2.65,55.0,31.800
2.66,55.37,31.900
2.67,55.63,32.000
2.68,55.96,32.100
2.69,56.11,32.200
2.69,56.65,32.300
2.7,56.82,32.400
2.71,56.65,32.500
2.72,57.11,32.600
2.73,57.42,32.700
2.74,57.7,32.800
2.74,58.1,32.900
2.75,58.48,33.000
2.76,58.81,33.100
2.77,59.05,33.200
2.78,59.36,33.300
2.79,59.71,33.400
2.79,59.91,33.500
2.8,60.13,33.600
2.81,60.42,33.700
2.82,60.7,33.800
2.83,61.21,33.900
2.84,61.4,34.000
2.84,61.73,34.100
2.85,61.72,34.200
2.86,61.77,34.300
2.87,62.02,34.400
2.88,62.08,34.500
2.89,62.43,34.600
2.89,62.6,34.700
2.9,62.38,34.800
2.91,62.45,34.900
2.92,62.82,35.000
2.93,63.01,35.100
2.94,63.14,35.200
2.94,63.4,35.300
2.95,63.78,35.400
2.96,63.97,35.500
2.97,64.1,35.600
2.98,64.37,35.700
