Crossheadmm,LoadN,Timesec
0.0,2.0,0.000
0.01,2.0,0.100
0.02,2.0,0.200
0.03,2.0,0.300
0.04,2.0,0.400
0.06,2.0,0.500
0.07,2.0,0.600
0.09,2.0,0.700
0.1,2.0,0.800
0.12,2.0,0.900
0.14,2.0,1.000
0.17,2.0,1.100
0.19,2.0,1.200
0.22,2.0,1.300
0.25,2.0,1.400
0.27,2.0,1.500
0.31,2.0,1.600
0.34,2.0,1.700
0.37,2.0,1.800
0.41,2.0,1.900
0.44,2.0,2.000
0.47,2.0,2.100
0.5,2.0,2.200
0.54,2.0,2.300
0.57,2.0,2.400
0.6,2.0,2.500
0.64,2.0,2.600
0.67,2.0,2.700
0.7,2.0,2.800
0.74,2.0,2.900
0.77,2.0,3.000
0.8,2.0,3.100
0.84,2.0,3.200
0.87,2.0,3.300
0.9,2.0,3.400
0.94,2.0,3.500
0.97,2.0,3.600
1.0,2.0,3.700
1.04,2.0,3.800
1.07,2.0,3.900
1.1,2.0,4.000
1.14,2.0,4.100
1.17,2.0,4.200
1.2,2.0,4.300
1.24,2.0,4.400
1.27,2.0,4.500
1.3,2.0,4.600
1.34,3.0,4.700
1.37,3.0,4.800
1.4,3.0,4.900
1.44,3.0,5.000
1.47,3.0,5.100
1.5,3.0,5.200
1.54,3.0,5.300
1.57,3.0,5.400
1.6,3.0,5.500
1.64,4.0,5.600
1.67,4.0,5.700
1.7,4.0,5.800
1.74,4.0,5.900
1.77,4.0,6.000
1.8,4.0,6.100
1.84,4.0,6.200
1.87,4.0,6.300
1.9,4.0,6.400
1.94,4.0,6.500
1.97,4.0,6.600
2.0,4.0,6.700
2.04,4.0,6.800
2.07,4.0,6.900
2.1,4.0,7.000
2.14,4.0,7.100
2.17,4.0,7.200
2.2,4.0,7.300
2.24,5.0,7.400
2.27,5.0,7.500
2.3,5.0,7.600
2.34,5.0,7.700
2.37,5.0,7.800
2.4,5.0,7.900
2.44,5.0,8.000
2.47,5.0,8.100
2.5,6.0,8.200
2.54,6.0,8.300
2.57,6.0,8.400
2.6,6.0,8.500
2.64,7.0,8.600
2.67,7.0,8.700
2.7,7.0,8.800
2.74,7.0,8.900
2.77,7.0,9.000
2.8,7.0,9.100
2.84,7.0,9.200
2.87,7.0,9.300
2.9,7.0,9.400
2.94,7.0,9.500
2.97,8.0,9.600
3.0,8.0,9.700
3.04,8.0,9.800
3.07,9.0,9.900
3.1,9.0,10.000
3.14,9.0,10.100
3.17,9.0,10.200
3.2,9.0,10.300
3.24,9.0,10.400
3.27,9.0,10.500
3.3,9.0,10.600
3.34,9.0,10.700
3.37,9.0,10.800
3.4,9.0,10.900
3.44,10.0,11.000
3.47,10.0,11.100
3.5,10.0,11.200
3.54,10.0,11.300
3.57,10.0,11.400
3.6,10.0,11.500
3.64,10.0,11.600
3.67,10.0,11.700
3.7,11.0,11.800
3.74,11.0,11.900
3.77,11.0,12.000
3.8,12.0,12.100
3.84,12.0,12.200
3.87,12.0,12.300
3.9,12.0,12.400
3.94,12.0,12.500
3.97,12.0,12.600
4.0,13.0,12.700
4.04,13.0,12.800
4.07,13.0,12.900
4.1,13.0,13.000
4.14,13.0,13.100
4.17,14.0,13.200
