Crossheadmm,LoadN,Timesec
0.0,0.67,0.000
0.02,0.67,0.100
0.03,0.84,0.200
0.05,0.88,0.300
0.07,1.01,0.400
0.08,1.17,0.500
0.1,1.2,0.600
0.12,1.37,0.700
0.13,1.36,0.800
0.15,1.49,0.900
0.17,1.43,1.000
0.18,1.45,1.100
0.2,1.63,1.200
0.22,1.73,1.300
0.23,1.87,1.400
0.25,1.76,1.500
0.27,1.9,1.600
0.28,2.1,1.700
0.3,2.0,1.800
0.32,2.12,1.900
0.33,2.22,2.000
0.35,2.41,2.100
0.37,2.46,2.200
0.38,2.58,2.300
0.4,2.62,2.400
0.42,2.77,2.500
0.43,2.87,2.600
0.45,3.03,2.700
0.47,3.15,2.800
0.48,3.34,2.900
0.5,3.35,3.000
0.52,3.36,3.100
0.53,3.46,3.200
0.55,3.64,3.300
0.57,3.77,3.400
0.58,4.02,3.500
0.6,4.09,3.600
0.62,4.1,3.700
0.63,4.3,3.800
0.65,4.42,3.900
0.67,4.47,4.000
0.68,4.73,4.100
0.7,4.78,4.200
0.72,4.8,4.300
0.73,4.93,4.400
0.75,5.06,4.500
0.77,5.13,4.600
0.78,5.34,4.700
0.8,5.34,4.800
0.82,5.76,4.900
0.83,5.73,5.000
0.85,5.83,5.100
0.87,6.02,5.200
0.88,6.14,5.300
0.9,6.18,5.400
0.92,6.47,5.500
0.93,6.59,5.600
0.95,6.73,5.700
0.97,6.77,5.800
0.98,6.83,5.900
1.0,6.93,6.000
1.02,7.1,6.100
1.03,7.17,6.200
1.05,7.39,6.300
1.07,7.47,6.400
1.08,7.66,6.500
1.1,7.82,6.600
1.12,7.76,6.700
1.13,8.13,6.800
1.15,8.02,6.900
1.17,8.08,7.000
1.18,8.32,7.100
1.2,8.36,7.200
1.22,8.62,7.300
1.24,8.51,7.400
1.25,8.7,7.500
1.27,8.96,7.600
1.28,8.92,7.700
1.3,9.06,7.800
1.32,9.07,7.900
1.33,9.21,8.000
1.35,9.43,8.100
1.37,9.29,8.200
1.38,9.63,8.300
1.4,9.72,8.400
1.42,9.82,8.500
1.43,9.79,8.600
1.45,10.06,8.700
1.47,10.11,8.800
1.48,10.22,8.900
1.5,10.31,9.000
1.52,10.53,9.100
1.53,10.71,9.200
1.55,10.64,9.300
1.57,10.83,9.400
1.58,10.92,9.500
1.6,10.98,9.600
1.62,11.14,9.700
1.63,11.32,9.800
1.65,11.25,9.900
1.67,11.37,10.000
1.69,11.5,10.100
1.7,11.65,10.200
1.72,11.72,10.300
1.74,11.93,10.400
1.75,11.99,10.500
1.77,12.07,10.600
1.78,12.19,10.700
1.8,12.44,10.800
1.82,12.68,10.900
1.83,12.63,11.000
1.85,12.94,11.100
1.87,12.96,11.200
1.88,13.03,11.300
1.9,13.3,11.400
1.92,13.34,11.500
1.94,13.61,11.600
1.95,13.69,11.700
1.97,13.73,11.800
1.99,13.94,11.900
2.0,14.09,12.000
2.02,14.26,12.100
2.04,14.44,12.200
2.05,14.57,12.300
2.07,14.56,12.400
2.09,14.72,12.500
2.1,14.92,12.600
2.12,15.12,12.700
2.14,15.19,12.800
2.15,15.44,12.900
2.17,15.6,13.000
2.19,15.75,13.100
2.2,15.78,13.200
2.22,15.96,13.300
2.23,16.34,13.400
2.25,16.46,13.500
2.27,16.58,13.600
2.29,16.86,13.700
2.3,16.87,13.800
2.32,17.1,13.900
2.34,17.29,14.000
2.35,17.47,14.100
2.37,17.69,14.200
2.39,17.81,14.300
2.4,17.87,14.400
2.42,18.24,14.500
2.44,18.32,14.600
2.45,18.53,14.700
2.47,18.62,14.800
2.49,18.83,14.900
2.5,19.0,15.000
2.52,19.16,15.100
2.54,19.34,15.200
2.55,19.4,15.300
2.57,19.8,15.400
2.59,20.12,15.500
2.6,20.16,15.600
2.62,20.32,15.700
2.63,20.66,15.800
2.65,20.7,15.900
2.67,20.91,16.000
2.69,21.08,16.100
2.7,21.21,16.200
2.72,21.43,16.300
2.73,21.66,16.400
2.75,21.78,16.500
2.77,22.02,16.600
2.79,22.24,16.700
2.8,22.41,16.800
2.82,22.71,16.900
2.84,22.78,17.000
2.85,23.03,17.100
2.87,23.18,17.200
2.89,23.28,17.300
2.9,23.56,17.400
2.92,23.73,17.500
2.94,24.05,17.600
2.95,24.28,17.700
2.97,24.39,17.800
2.99,24.72,17.900
3.0,24.83,18.000
3.02,25.14,18.100
3.04,25.42,18.200
3.05,25.55,18.300
3.07,25.86,18.400
3.09,26.11,18.500
3.1,26.06,18.600
3.12,26.47,18.700
3.13,26.85,18.800
3.15,26.94,18.900
3.17,27.04,19.000
3.19,27.2,19.100
3.2,27.41,19.200
