Crossheadmm,LoadN,Timesec
0.0,0.78,0.000
0.0,1.09,0.100
0.01,1.26,0.200
0.02,1.34,0.300
0.03,1.37,0.400
0.04,1.59,0.500
0.05,1.65,0.600
0.05,1.8,0.700
0.06,1.98,0.800
0.07,2.16,0.900
0.08,2.32,1.000
0.09,2.46,1.100
0.1,2.75,1.200
0.1,2.85,1.300
0.11,2.91,1.400
0.12,3.1,1.500
0.13,3.31,1.600
0.14,3.44,1.700
0.15,3.76,1.800
0.15,3.98,1.900
0.16,4.18,2.000
0.17,4.43,2.100
0.18,4.69,2.200
0.19,4.93,2.300
0.2,5.39,2.400
0.2,5.48,2.500
0.21,5.57,2.600
0.22,5.84,2.700
0.23,6.08,2.800
0.24,6.39,2.900
0.25,6.66,3.000
0.25,6.99,3.100
0.26,7.24,3.200
0.27,7.66,3.300
0.28,8.11,3.400
0.29,8.56,3.500
0.3,8.84,3.600
0.3,9.37,3.700
0.31,9.71,3.800
0.32,10.15,3.900
0.33,10.68,4.000
0.34,11.04,4.100
0.35,11.61,4.200
0.35,12.19,4.300
0.36,12.63,4.400
0.37,13.1,4.500
0.38,13.51,4.600
0.39,14.12,4.700
0.4,14.62,4.800
0.4,15.22,4.900
0.41,15.77,5.000
0.42,16.2,5.100
0.43,16.9,5.200
0.44,17.37,5.300
0.45,18.03,5.400
0.45,18.73,5.500
0.46,19.4,5.600
0.47,19.77,5.700
0.48,20.55,5.800
0.49,21.2,5.900
0.5,21.92,6.000
0.5,22.52,6.100
0.51,23.19,6.200
0.52,23.96,6.300
0.53,24.76,6.400
0.54,25.41,6.500
0.55,26.27,6.600
0.55,27.13,6.700
0.56,27.83,6.800
0.57,28.53,6.900
0.58,29.38,7.000
0.59,30.2,7.100
0.6,30.91,7.200
0.6,31.75,7.300
0.61,32.61,7.400
0.62,33.35,7.500
0.63,34.22,7.600
0.64,34.89,7.700
0.65,35.84,7.800
0.65,36.78,7.900
0.66,37.59,8.000
0.67,38.66,8.100
0.68,39.59,8.200
0.69,40.34,8.300
0.7,41.44,8.400
0.7,42.22,8.500
0.71,43.33,8.600
0.72,44.11,8.700
0.73,45.14,8.800
0.74,46.01,8.900
0.75,46.94,9.000
0.75,48.14,9.100
0.76,48.99,9.200
0.77,49.95,9.300
0.78,50.95,9.400
0.79,52.0,9.500
0.8,53.04,9.600
0.8,54.0,9.700
0.81,55.11,9.800
0.82,56.11,9.900
0.83,57.26,10.000
0.84,58.42,10.100
0.85,59.52,10.200
0.85,60.49,10.300
0.86,61.7,10.400
0.87,62.71,10.500
0.88,63.85,10.600
0.89,65.17,10.700
0.9,66.34,10.800
0.9,67.53,10.900
0.91,68.72,11.000
0.92,69.76,11.100
0.93,71.23,11.200
0.94,72.27,11.300
0.95,73.69,11.400
0.95,74.79,11.500
0.96,76.15,11.600
0.97,77.28,11.700
0.98,78.63,11.800
0.99,79.82,11.900
1.0,81.15,12.000
1.0,82.32,12.100
1.01,83.72,12.200
1.02,85.08,12.300
1.03,86.35,12.400
1.04,87.56,12.500
1.05,89.08,12.600
1.05,90.45,12.700
1.06,91.65,12.800
1.07,93.23,12.900
1.08,94.37,13.000
1.09,95.76,13.100
1.1,97.28,13.200
1.1,98.54,13.300
