Crossheadmm,LoadN,Timesec
0.0,0.0,0.000
0.04,1.0,0.100
0.07,1.0,0.200
0.1,1.0,0.300
0.14,1.0,0.400
0.17,1.0,0.500
0.2,1.0,0.600
0.23,1.0,0.700
0.27,1.0,0.800
0.3,1.0,0.900
0.34,1.0,1.000
0.37,1.0,1.100
0.4,2.0,1.200
0.44,2.0,1.300
0.47,2.0,1.400
0.5,2.0,1.500
0.53,2.0,1.600
0.57,2.0,1.700
0.6,2.0,1.800
0.64,2.0,1.900
0.67,3.0,2.000
0.7,3.0,2.100
0.73,4.0,2.200
0.77,4.0,2.300
0.8,4.0,2.400
0.83,4.0,2.500
0.87,5.0,2.600
0.9,5.0,2.700
0.94,6.0,2.800
0.97,7.0,2.900
1.0,7.0,3.000
1.04,8.0,3.100
1.07,9.0,3.200
1.1,9.0,3.300
1.13,10.0,3.400
1.17,11.0,3.500
1.2,12.0,3.600
1.23,13.0,3.700
1.27,14.0,3.800
1.3,15.0,3.900
1.34,16.0,4.000
1.37,17.0,4.100
1.4,18.0,4.200
1.44,19.0,4.300
1.47,21.0,4.400
1.5,22.0,4.500
1.53,23.0,4.600
1.57,24.0,4.700
1.6,25.0,4.800
1.64,26.0,4.900
1.67,27.0,5.000
1.7,29.0,5.100
1.73,31.0,5.200
1.77,32.0,5.300
1.8,33.0,5.400
1.83,34.0,5.500
1.87,36.0,5.600
1.9,38.0,5.700
1.93,40.0,5.800
1.97,41.0,5.900
2.0,43.0,6.000
2.04,45.0,6.100
2.07,48.0,6.200
2.1,50.0,6.300
2.13,52.0,6.400
2.17,55.0,6.500
2.2,58.0,6.600
2.23,60.0,6.700
2.27,64.0,6.800
2.3,67.0,6.900
2.33,71.0,7.000
2.37,74.0,7.100
2.4,78.0,7.200
2.44,82.0,7.300
2.47,84.0,7.400
2.5,89.0,7.500
2.53,93.0,7.600
2.57,97.0,7.700
2.6,101.0,7.800
2.63,106.0,7.900
2.67,111.0,8.000
2.7,116.0,8.100
2.73,121.0,8.200
2.77,126.0,8.300
2.8,132.0,8.400
2.83,138.0,8.500
2.87,142.0,8.600
2.9,147.0,8.700
2.93,150.0,8.800
2.97,153.0,8.900
3.0,154.0,9.000
3.03,156.0,9.100
3.07,160.0,9.200
3.1,165.0,9.300
3.13,171.0,9.400
3.17,178.0,9.500
3.2,184.0,9.600
3.23,191.0,9.700
3.27,199.0,9.800
3.3,207.0,9.900
3.33,215.0,10.000
3.37,223.0,10.100
3.4,231.0,10.200
3.43,239.0,10.300
3.47,247.0,10.400
3.5,255.0,10.500
3.53,264.0,10.600
3.57,273.0,10.700
3.6,283.0,10.800
3.63,294.0,10.900
3.67,303.0,11.000
3.7,313.0,11.100
3.73,324.0,11.200
3.77,333.0,11.300
3.8,343.0,11.400
3.83,354.0,11.500
3.87,364.0,11.600
3.9,374.0,11.700
3.93,385.0,11.800
3.97,395.0,11.900
4.0,405.0,12.000
4.03,414.0,12.100
4.07,424.0,12.200
4.1,435.0,12.300
4.13,445.0,12.400
4.17,455.0,12.500
4.2,465.0,12.600
4.23,475.0,12.700
4.27,485.0,12.800
4.3,493.0,12.900
4.33,501.0,13.000
4.37,509.0,13.100
4.4,515.0,13.200
4.43,518.0,13.300
4.47,520.0,13.400
4.5,518.0,13.500
4.53,521.0,13.600
4.56,529.0,13.700
4.6,534.0,13.800
4.63,542.0,13.900
4.67,551.0,14.000
4.7,560.0,14.100
4.73,568.0,14.200
4.77,577.0,14.300
4.8,586.0,14.400
4.83,591.0,14.500
4.87,597.0,14.600
4.9,603.0,14.700
4.93,610.0,14.800
4.97,618.0,14.900
5.0,624.0,15.000
5.03,630.0,15.100
5.06,623.0,15.200
5.1,613.0,15.300
5.13,615.0,15.400
5.16,621.0,15.500
5.2,627.0,15.600
5.23,632.0,15.700
5.27,638.0,15.800
5.3,645.0,15.900
5.33,649.0,16.000
5.37,650.0,16.100
5.4,653.0,16.200
5.43,610.0,16.300
5.46,4.0,16.400
