Crossheadmm,LoadN,Timesec
0.0344000000040978,0.033856529742479304,0.114000000059605
0.0672000023769215,0.2279717773199,0.214000001549721
0.100700002803933,0.3531692028045,0.314000010490417
0.134300003992394,0.4966110885143,0.414000004529953
0.167799997143447,0.5062627196311,0.513999998569489
0.201300004846416,0.2497010231018,0.614000022411346
0.234599996474572,0.239136621356,0.71399998664856
0.267700001131743,0.6495478749275,0.814000010490417
0.300799991237,0.47645443677899996,0.913999974727631
0.334200012730435,0.7382457852363,1.01400005817413
0.367600005120039,0.6166129112243,1.1139999628067
0.400999997509643,0.5917774438858,1.21399998664856
0.434399989899248,0.6636525988577999,1.31400001049042
0.468000012915581,0.7731600999831999,1.41400003433228
0.501199974678457,0.9066856503486,1.51400005817413
0.534199993126094,0.8731444478034001,1.6139999628067
0.567400013096631,0.9449408054351001,1.71399998664856
0.600699975620955,1.0180995464325,1.81400001049042
0.634299998637289,1.0250545740127002,1.91400003433228
0.667800020892173,1.2165374755859,2.01399993896484
0.701099983416498,1.0799046754837,2.11400008201599
0.734400004148483,1.1329942941664999,2.21399998664856
0.76760002411902,1.2144442796707,2.31399989128113
0.800799985881895,1.2612036466598,2.41400003433228
0.833900005090982,1.4294917583464999,2.51399993896484
0.867400027345866,1.5345958471298,2.61400008201599
0.900899991393089,1.6109240055084,2.71399998664856
0.934300012886524,1.8106640577316,2.81399989128113
0.967699976172298,1.8773562908172,2.91400003433228
1.0009000543505,1.9379858970641999,3.01399993896484
1.03409995790571,2.1305274963378,3.11400008201599
1.0673999786377,2.3304953575134,3.21399998664856
1.10080000013113,2.4656498432159,3.31399989128113
1.13380001857877,2.7236351966857,3.41400003433228
1.1674000415951,2.8910474777221,3.51399993896484
1.20099994819611,3.2985899448394003,3.61400008201599
1.234499970451,3.4729416370391,3.71399998664856
1.26769999042153,3.6202781200408,3.81399989128113
1.30090001039207,3.9427788257598,3.91400003433228
1.33410003036261,4.0672531127928995,4.01399993896484
1.36740005109459,4.3734655380249,4.11399984359741
1.40069995541126,4.559329509735099,4.21400022506714
1.43419997766614,5.0564427375793,4.31400012969971
1.46759999915957,5.2411913871765,4.41400003433228
1.50080001913011,5.4012379646301,4.51399993896484
1.53430004138499,5.9189233779907,4.61399984359741
1.56759994570166,6.3763561248779,4.71400022506714
1.60079996567219,6.6379771232605,4.81400012969971
1.63409998640418,6.9998021125793,4.91400003433228
1.66740000713617,7.2698059082031,5.01399993896484
1.70090002939105,7.6151776313781,5.11399984359741
1.73440005164593,7.8933978080749005,5.21400022506714
1.7676999559626,8.4115753173828,5.31400012969971
1.80109997745603,8.759141921997,5.41400003433228
1.83429999742657,9.2909049987793,5.51399993896484
1.86760001815856,9.4513673782348,5.61399984359741
1.90080003812909,9.828203201293901,5.71400022506714
1.93409994244576,10.2250537872314,5.81400012969971
1.96749996393919,10.405632972717301,5.91400003433228
2.00089998543262,11.1578493118286,6.01399993896484
2.03439989127219,11.3772687911987,6.11399984359741
2.06799991428852,11.9647874832153,6.21400022506714
2.10110004991293,12.3970918655396,6.31400012969971
2.13410006836057,12.8300371170044,6.41400003433228
2.16739997267723,13.262183189392099,6.51399993896484
2.20090011134744,13.653892517089801,6.61399984359741
2.23449990153313,14.2149467468262,6.71400022506714
2.26789992302656,14.690544128418,6.81400012969971
2.30120006017387,14.9974765777588,6.91400003433228
2.3348000831902,15.607146263122601,7.01399993896484
2.36820010468364,16.0630416870117,7.11399984359741
2.40139989182353,16.5213146209717,7.21400022506714
2.43450002744794,17.0163974761963,7.31400012969971
2.46730004437268,17.5508213043213,7.41400003433228
2.50079995021224,18.0240688323975,7.51399993896484
2.53439997322857,18.4365482330322,7.61399984359741
2.56790011189878,18.9138984680176,7.71400022506714
2.60129990056157,19.4545516967773,7.81400012969971
2.63469992205501,20.127973556518597,7.91400003433228
2.66780005767941,20.568475723266598,8.01399993896484
2.70100007764995,21.083808898925803,8.11400032043457
2.73420009762049,21.7212600708008,8.21399974822998
2.76770000346005,22.028835296630902,8.31400012969971
