Crossheadmm,LoadN,Timesec
2.21,323.24,26.500
2.22,324.48,26.600
2.23,326.27,26.700
2.24,327.69,26.800
2.24,329.16,26.900
2.25,330.41,27.000
2.26,332.03,27.100
2.27,333.54,27.200
2.28,334.81,27.300
2.29,336.3,27.400
2.29,338.02,27.500
2.3,339.42,27.600
2.31,340.76,27.700
2.32,342.05,27.800
2.33,343.59,27.900
2.34,345.06,28.000
2.34,346.73,28.100
2.35,347.97,28.200
2.36,349.5,28.300
2.37,350.88,28.400
2.38,352.36,28.500
2.39,353.69,28.600
2.39,355.48,28.700
2.4,356.41,28.800
2.41,357.88,28.900
2.42,359.3,29.000
2.43,360.72,29.100
2.44,362.03,29.200
2.44,363.28,29.300
2.45,364.3,29.400
2.46,365.63,29.500
2.47,366.99,29.600
2.48,368.45,29.700
2.49,369.05,29.800
2.49,370.61,29.900
2.5,371.49,30.000
2.51,372.95,30.100
2.52,374.17,30.200
2.53,375.54,30.300
2.54,376.77,30.400
2.54,378.11,30.500
2.55,379.34,30.600
2.56,380.81,30.700
2.57,381.82,30.800
2.58,383.29,30.900
2.59,384.72,31.000
2.59,386.1,31.100
2.6,387.32,31.200
2.61,388.69,31.300
2.62,390.22,31.400
2.63,391.36,31.500
2.64,391.86,31.600
2.64,393.15,31.700
2.65,394.06,31.800
2.66,395.07,31.900
2.67,394.84,32.000
2.68,391.96,32.100
2.69,377.38,32.200
2.69,376.38,32.300
2.7,341.09,32.400
2.71,299.56,32.500
2.72,287.26,32.600
2.73,264.42,32.700
2.74,238.81,32.800
2.74,92.88,32.900
2.75,72.57,33.000
